Unnamed: 0,uid,sentence_text,tokens,profession,g,profession_first_index,g_first_index,predicted gender,stereotype,distance,num_of_pronouns,corpus,data_index,model_translations,gold
1572,1574,"The patient has been receiving oral active vitamin D and calcium , and the pain and serum calcium and phosphate values have improved to the point that he can receive out-patient treatment .","['The', 'patient', 'has', 'been', 'receiving', 'oral', 'active', 'vitamin', 'D', 'and', 'calcium', ',', 'and', 'the', 'pain', 'and', 'serum', 'calcium', 'and', 'phosphate', 'values', 'have', 'improved', 'to', 'the', 'point', 'that', 'he', 'can', 'receive', 'out', '-', 'patient', 'treatment', '.']",patient,he,1,27,Male,0,26,1,pubmed,18,"המטופל מקבל ויטמין D פעיל אוראלי וסידן, והכאב והנסיוב סידן וערכי זרחן השתפרו עד כדי כך שהוא יכול לקבל טיפול חוץ-מטופל.","המטופל מקבל ויטמין D פעיל אוראלי וסידן, והכאב והנסיוב סידן וערכי זרחן השתפרו עד כדי כך שהוא יכול לקבל טיפול חוץ-מטופל."
1245,1247,The patient had an uneventful recovery period and he was followed for two weeks .,"['The', 'patient', 'had', 'an', 'uneventful', 'recovery', 'period', 'and', 'he', 'was', 'followed', 'for', 'two', 'weeks', '.']",patient,he,1,8,Male,0,7,1,pubmed,9,"למטופל הייתה תקופת התאוששות ללא אירועים מיוחדים, ועקבו אחריו במשך שבועיים.","למטופל הייתה תקופת התאוששות ללא אירועים מיוחדים, ועקבו אחריו במשך שבועיים."
1068,1069,"The patient developed auditory hallucinations , persecutory delusional ideas , and was terrified soon upon his arrival in a foreign country .","['The', 'patient', 'developed', 'auditory', 'hallucinations', ',', 'persecutory', 'delusional', 'ideas', ',', 'and', 'was', 'terrified', 'soon', 'upon', 'his', 'arrival', 'in', 'a', 'foreign', 'country', '.']",patient,his,1,15,Male,0,14,1,pubmed,6,"המטופל פיתח הזיות שמיעה, רעיונות הזויים רודף, והיה מבוהל בקרוב עם הגעתו בארץ זרה.","המטופל פיתח הזיות שמיעה, רעיונות הזויים רודף, והיה מבוהל בקרוב עם הגעתו בארץ זרה."
1176,1177,The occurrence of M-protein with antigenous appurtenance of IgM not only in the patient himself but also in some of the healthy blood relations in the family is pointed out .,"['The', 'occurrence', 'of', 'M', '-', 'protein', 'with', 'antigenous', 'appurtenance', 'of', 'IgM', 'not', 'only', 'in', 'the', 'patient', 'himself', 'but', 'also', 'in', 'some', 'of', 'the', 'healthy', 'blood', 'relations', 'in', 'the', 'family', 'is', 'pointed', 'out', '.']",patient,himself,15,16,Male,0,1,1,pubmed,10,"התרחשותו של M-פרוטאין עם תמיכה אנטיגנית של IgM לא רק בחולה עצמו, אלא גם בחלק מיחסי הדם הבריאים במשפחה.","התרחשותו של M-פרוטאין עם תמיכה אנטיגנית של IgM לא רק בחולה עצמו, אלא גם בחלק מיחסי הדם הבריאים במשפחה."
580,581,"These studies refer to NR as a multidisciplinary approach ( a specially trained team of professionals ) with concrete objectives and established job descriptions , a suitable battery of instruments for measurement of the results , active participation of the patient and his family and correct follow-up in the community .","['These', 'studies', 'refer', 'to', 'NR', 'as', 'a', 'multidisciplinary', 'approach', '(', 'a', 'specially', 'trained', 'team', 'of', 'professionals', ')', 'with', 'concrete', 'objectives', 'and', 'established', 'job', 'descriptions', ',', 'a', 'suitable', 'battery', 'of', 'instruments', 'for', 'measurement', 'of', 'the', 'results', ',', 'active', 'participation', 'of', 'the', 'patient', 'and', 'his', 'family', 'and', 'correct', 'follow', '-', 'up', 'in', 'the', 'community', '.']",patient,his,40,42,Male,0,2,1,pubmed,20,"מחקרים אלה מתייחסים ל-NR כגישה רב-תחומית (צוות מקצועי מאומן במיוחד) עם מטרות מוצקות ותיאורי עבודה מבוססים, סוללה מתאימה של מכשירים למדידת התוצאות, השתתפות פעילה של המטופל ומשפחתו והמשך נכון בקהילה.","מחקרים אלה מתייחסים ל-NR כגישה רב-תחומית (צוות מקצועי מאומן במיוחד) עם מטרות מוצקות ותיאורי עבודה מבוססים, סוללה מתאימה של מכשירים למדידת התוצאות, השתתפות פעילה של המטופל ומשפחתו והמשך נכון בקהילה."
1140,1141,"Because his symptoms got worse , on the 6 th day of illness , the patient was hospitalized and started on empirically intravenous antibiotics and favipiravir .","['Because', 'his', 'symptoms', 'got', 'worse', ',', 'on', 'the', '6', 'th', 'day', 'of', 'illness', ',', 'the', 'patient', 'was', 'hospitalized', 'and', 'started', 'on', 'empirically', 'intravenous', 'antibiotics', 'and', 'favipiravir', '.']",patient,his,15,1,Male,0,14,1,covid19,7,"בגלל שהתסמינים שלו החמירו, ביום השישי של המחלה, המטופל אושפז והחל לקבל אנטיביוטיקה תוך ורידית ואמפירית.","בגלל שהתסמינים שלו החמירו, ביום השישי של המחלה, המטופל אושפז והחל לקבל אנטיביוטיקה תוך ורידית ואמפירית."
522,523,Our patient is unique because he has symptomatic IGV and INCPH .,"['Our', 'patient', 'is', 'unique', 'because', 'he', 'has', 'symptomatic', 'IGV', 'and', 'INCPH', '.']",patient,he,1,5,Male,0,4,1,pubmed,5,המטופל שלנו הוא ייחודי כי יש לו IGV סימפטומטי ו INCPH.,המטופל שלנו הוא ייחודי כי יש לו IGV סימפטומטי ו INCPH.
1077,1078,"The "" hunter "" was later added due to his abilities in that field .","['The', '""', 'hunter', '""', 'was', 'later', 'added', 'due', 'to', 'his', 'abilities', 'in', 'that', 'field', '.']",hunter,his,2,9,Male,0,7,1,wikipedia,6,""" הצייד "" נוספו מאוחר יותר בשל כישוריו בתחום זה.",""" הצייד "" נוספו מאוחר יותר בשל כישוריו בתחום זה."
1203,1204,A friend challenged de Vivie to ride his new bicycle 100 Â km in six hours and he set out to the mountain resort of Chaise - Dieu .,"['A', 'friend', 'challenged', 'de', 'Vivie', 'to', 'ride', 'his', 'new', 'bicycle', '100', 'Â', 'km', 'in', 'six', 'hours', 'and', 'he', 'set', 'out', 'to', 'the', 'mountain', 'resort', 'of', 'Chaise', '-', 'Dieu', '.']",friend,he,1,17,Male,0,16,2,wikipedia,11,חבר קרא תיגר על דה ויו לרכב על אופניו החדשים 100 קילומטר בשש שעות והוא יצא אל אתר הנופש ההררי צ'יז דיאו.,חבר קרא תיגר על דה ויו לרכב על אופניו החדשים 100 קילומטר בשש שעות והוא יצא אל אתר הנופש ההררי צ'יז דיאו.
1650,1653,The aim of molecular genetic analysis in families with haemophilia is to identify the causative mutation in an affected male as this provides valuable information for the patient and his relatives .,"['The', 'aim', 'of', 'molecular', 'genetic', 'analysis', 'in', 'families', 'with', 'haemophilia', 'is', 'to', 'identify', 'the', 'causative', 'mutation', 'in', 'an', 'affected', 'male', 'as', 'this', 'provides', 'valuable', 'information', 'for', 'the', 'patient', 'and', 'his', 'relatives', '.']",patient,his,27,29,Male,0,2,1,pubmed,20,המטרה של ניתוח גנטי מולקולרי במשפחות עם המופיליה היא לזהות את המוטציה הסיבתית בזכר מושפע כמו זה מספק מידע בעל ערך עבור החולה וקרוביו.,המטרה של ניתוח גנטי מולקולרי במשפחות עם המופיליה היא לזהות את המוטציה הסיבתית בזכר מושפע כמו זה מספק מידע בעל ערך עבור החולה וקרוביו.
1152,1153,"We present a patient who was considered to be high risk for recurrent pulmonary emboli and who could not undergo preoperative vena caval umbrella placement , because his weight exceeded the limit of our angiographic table .","['We', 'present', 'a', 'patient', 'who', 'was', 'considered', 'to', 'be', 'high', 'risk', 'for', 'recurrent', 'pulmonary', 'emboli', 'and', 'who', 'could', 'not', 'undergo', 'preoperative', 'vena', 'caval', 'umbrella', 'placement', ',', 'because', 'his', 'weight', 'exceeded', 'the', 'limit', 'of', 'our', 'angiographic', 'table', '.']",patient,his,3,27,Male,0,24,1,pubmed,7,"אנו מציגים מטופל שנחשב כסיכון גבוה לתסחיף ריאתי חוזר ונשני ושלא יכול היה לעבור מיקום מטרייה וורידית לפני ניתוח, כי משקלו עלה על הגבול של השולחן האנגיוגרפי שלנו.","אנו מציגים מטופל שנחשב כסיכון גבוה לתסחיף ריאתי חוזר ונשני ושלא יכול היה לעבור מיקום מטרייה וורידית לפני ניתוח, כי משקלו עלה על הגבול של השולחן האנגיוגרפי שלנו."
47,47,"He appears to have been , according to the testimony of friend and foe , an exceedingly bad man ; cruel in his nature ; repulsive in features ; rude in manners ; and foul and profane in speech .","['He', 'appears', 'to', 'have', 'been', ',', 'according', 'to', 'the', 'testimony', 'of', 'friend', 'and', 'foe', ',', 'an', 'exceedingly', 'bad', 'man', ';', 'cruel', 'in', 'his', 'nature', ';', 'repulsive', 'in', 'features', ';', 'rude', 'in', 'manners', ';', 'and', 'foul', 'and', 'profane', 'in', 'speech', '.']",friend,his,11,22,Male,0,11,1,perseus,15,"נראה שהוא היה, על פי עדותם של חבר ואויב, אדם רע מאוד; אכזרי מאוד בטבעו; דוחה במאפיינים; גס נימוסים; ומלוכלך וטמא בדיבור.","נראה שהוא היה, על פי עדותם של חבר ואויב, אדם רע מאוד; אכזרי מאוד בטבעו; דוחה במאפיינים; גס נימוסים; ומלוכלך וטמא בדיבור."
1240,1242,"After CMV viremia developed , the patient received ganciclovir , but he was switched to foscarnet when ganciclovir resistance was suspected .","['After', 'CMV', 'viremia', 'developed', ',', 'the', 'patient', 'received', 'ganciclovir', ',', 'but', 'he', 'was', 'switched', 'to', 'foscarnet', 'when', 'ganciclovir', 'resistance', 'was', 'suspected', '.']",patient,he,6,11,Male,0,5,1,pubmed,9,"לאחר פיתוח Virmia של CMV, המטופל קיבל Ganciclovir, אבל הוא הוחלף לFoscarnet כאשר Ganciclovir התנגדות נחשדה.","לאחר פיתוח Virmia של CMV, המטופל קיבל Ganciclovir, אבל הוא הוחלף לFoscarnet כאשר Ganciclovir התנגדות נחשדה."
1267,1269,"Postoperatively , the patient showed slight left motor weakness , but it gradually improved and he was discharged on foot , on October 19 , 1988 .","['Postoperatively', ',', 'the', 'patient', 'showed', 'slight', 'left', 'motor', 'weakness', ',', 'but', 'it', 'gradually', 'improved', 'and', 'he', 'was', 'discharged', 'on', 'foot', ',', 'on', 'October', '19', ',', '1988', '.']",patient,he,3,15,Male,0,12,1,pubmed,9,"לאחר הניתוח, הראה החולה חולשה מוטורית קלה שמאלה, אבל זה השתפר בהדרגה והוא שוחרר ברגל, ב-19 באוקטובר 1988.","לאחר הניתוח, הראה החולה חולשה מוטורית קלה שמאלה, אבל זה השתפר בהדרגה והוא שוחרר ברגל, ב-19 באוקטובר 1988."
1216,1217,"In light of the patients advanced melanoma , the patient opted for best supportive care and he died as a consequence of respiratory failure .","['In', 'light', 'of', 'the', 'patients', 'advanced', 'melanoma', ',', 'the', 'patient', 'opted', 'for', 'best', 'supportive', 'care', 'and', 'he', 'died', 'as', 'a', 'consequence', 'of', 'respiratory', 'failure', '.']",patient,he,9,16,Male,0,7,1,covid19,11,"לאור התקדמות החולים במלנומה, המטופל בחר בטיפול תומך הטוב ביותר והוא מת כתוצאה מכשל נשימתי.","לאור התקדמות החולים במלנומה, המטופל בחר בטיפול תומך הטוב ביותר והוא מת כתוצאה מכשל נשימתי."
1566,1568,Why should a gas station attendant pay a greater share than the oil company he works for ?,"['Why', 'should', 'a', 'gas', 'station', 'attendant', 'pay', 'a', 'greater', 'share', 'than', 'the', 'oil', 'company', 'he', 'works', 'for', '?']",attendant,he,5,14,Male,0,9,1,wikipedia,18,למה שדייל בתחנת דלק ישלם נתח גדול יותר מחברת הנפט שהוא עובד עבורה?,למה שדייל בתחנת דלק ישלם נתח גדול יותר מחברת הנפט שהוא עובד עבורה?
539,540,"An excellent teacher , Dykes won a number of teaching awards during her 15 years of service at Howard University .","['An', 'excellent', 'teacher', ',', 'Dykes', 'won', 'a', 'number', 'of', 'teaching', 'awards', 'during', 'her', '15', 'years', 'of', 'service', 'at', 'Howard', 'University', '.']",teacher,her,2,12,Female,1,10,1,wikipedia,14,דייקס זכתה במספר פרסי הוראה במהלך 15 שנות שירותה באוניברסיטת הווארד.,דייקס זכתה במספר פרסי הוראה במהלך 15 שנות שירותה באוניברסיטת הווארד.
345,346,"Her teacher , Victor Torres Lizardi , a painter from Caguas , taught her pen and ink along with watercolors .","['Her', 'teacher', ',', 'Victor', 'Torres', 'Lizardi', ',', 'a', 'painter', 'from', 'Caguas', ',', 'taught', 'her', 'pen', 'and', 'ink', 'along', 'with', 'watercolors', '.']",teacher,her,1,13,Female,1,12,2,wikipedia,21,"המורה שלה, ויקטור טורס ליזרדי, צייר מקאגואס, לימד אותה עט ודיו יחד עם צבעי מים.","המורה שלה, ויקטור טורס ליזרדי, צייר מקאגואס, לימד אותה עט ודיו יחד עם צבעי מים."
963,964,"The charge nurse , finding herself in a situation which amounted to a crisis in the work of the department and the lives of the staff , introduced a process which sought to establish that control .","['The', 'charge', 'nurse', ',', 'finding', 'herself', 'in', 'a', 'situation', 'which', 'amounted', 'to', 'a', 'crisis', 'in', 'the', 'work', 'of', 'the', 'department', 'and', 'the', 'lives', 'of', 'the', 'staff', ',', 'introduced', 'a', 'process', 'which', 'sought', 'to', 'establish', 'that', 'control', '.']",nurse,herself,2,5,Female,1,3,1,pubmed,3,"האחות האחראית, שמצאה את עצמה במצב שהסתכם במשבר בעבודה של המחלקה וחיי הצוות, הציגה תהליך שביקש לבסס שליטה זו.","האחות האחראית, שמצאה את עצמה במצב שהסתכם במשבר בעבודה של המחלקה וחיי הצוות, הציגה תהליך שביקש לבסס שליטה זו."
37,37,The author declares that she has no conflict of interest,"['The', 'author', 'declares', 'that', 'she', 'has', 'no', 'conflict', 'of', 'interest']",author,she,1,4,Female,1,3,1,covid19,4,הסופרת מצהירה שאין לה ניגוד אינטרסים.,הסופרת מצהירה שאין לה ניגוד אינטרסים.
985,986,VANITY grounds ; the author admits on her user page that she works for NASA doing programing and podcasting .,"['VANITY', 'grounds', ';', 'the', 'author', 'admits', 'on', 'her', 'user', 'page', 'that', 'she', 'works', 'for', 'NASA', 'doing', 'programing', 'and', 'podcasting', '.']",author,she,4,11,Female,1,7,2,wikipedia,4,"VANITY ground; הסופר מודה בעמוד המשתמש שלה שהיא עובדת עבור נאס""א עושה תכנות וpodcasting.","VANITY ground; הסופר מודה בעמוד המשתמש שלה שהיא עובדת עבור נאס""א עושה תכנות וpodcasting."
114,115,"She counted among her grandparents James McKeen Cattell , an influential psychologist and academic .","['She', 'counted', 'among', 'her', 'grandparents', 'James', 'McKeen', 'Cattell', ',', 'an', 'influential', 'psychologist', 'and', 'academic', '.']",psychologist,her,11,3,Female,1,8,2,wikipedia,6,"היא ספרה בין הסבים שלה ג'יימס McKeen Cattell, פסיכולוג בעל השפעה ואקדמאי.","היא ספרה בין הסבים שלה ג'יימס McKeen Cattell, פסיכולוג בעל השפעה ואקדמאי."
1150,1151,"One day after her cat had gone missing , Saueressig suspected the maid as the cause .","['One', 'day', 'after', 'her', 'cat', 'had', 'gone', 'missing', ',', 'Saueressig', 'suspected', 'the', 'maid', 'as', 'the', 'cause', '.']",maid,her,12,3,Female,1,9,1,wikipedia,7,"יום אחד לאחר שהחתול שלה נעלם, Saueressig חשד העוזרת כסיבה.","יום אחד לאחר שהחתול שלה נעלם, Saueressig חשד העוזרת כסיבה."
714,715,"Although Howard had used the cemetery 's caretaker lodge as her private residence for years , after November 5 , 2005 , she was barred by the CFB from entering the cemetery grounds .","['Although', 'Howard', 'had', 'used', 'the', 'cemetery', ""'s"", 'caretaker', 'lodge', 'as', 'her', 'private', 'residence', 'for', 'years', ',', 'after', 'November', '5', ',', '2005', ',', 'she', 'was', 'barred', 'by', 'the', 'CFB', 'from', 'entering', 'the', 'cemetery', 'grounds', '.']",caretaker,her,7,10,Female,1,3,2,wikipedia,6,"למרות שהווארד השתמש באכסניית השרת של בית הקברות כמגוריה הפרטיים במשך שנים, לאחר 5 בנובמבר 2005, נאסר עליה להיכנס לשטח בית הקברות.","למרות שהווארד השתמש באכסניית השרת של בית הקברות כמגוריה הפרטיים במשך שנים, לאחר 5 בנובמבר 2005, נאסר עליה להיכנס לשטח בית הקברות."
510,511,"Fandemonium 's company runner and chief editor , Sally Malcolm , started out as a fanfic writer herself .","['Fandemonium', ""'s"", 'company', 'runner', 'and', 'chief', 'editor', ',', 'Sally', 'Malcolm', ',', 'started', 'out', 'as', 'a', 'fanfic', 'writer', 'herself', '.']",writer,herself,16,17,Female,1,1,1,wikipedia,10,"רץ החברה של Fandomium ועורך ראשי, סאלי מלקולם, התחיל כסופר fanfic עצמה.","רץ החברה של Fandomium ועורך ראשי, סאלי מלקולם, התחיל כסופר fanfic עצמה."
835,836,"In this article , the author relates her experiences as a nurse to her current choice of profession , the law .","['In', 'this', 'article', ',', 'the', 'author', 'relates', 'her', 'experiences', 'as', 'a', 'nurse', 'to', 'her', 'current', 'choice', 'of', 'profession', ',', 'the', 'law', '.']",author,her,5,7,Female,1,2,2,pubmed,17,"במאמר זה, המחברת מסבירה את חוויותיה כאחות לבחירת המקצוע הנוכחית שלה, החוק.","במאמר זה, המחברת מסבירה את חוויותיה כאחות לבחירת המקצוע הנוכחית שלה, החוק."
384,385,"Each student is assigned a faculty advisor to assist the student in the selection of her courses , serve as a liaison between the student and her teachers , consult with parents about academic and related problems , and review and discuss all grades .","['Each', 'student', 'is', 'assigned', 'a', 'faculty', 'advisor', 'to', 'assist', 'the', 'student', 'in', 'the', 'selection', 'of', 'her', 'courses', ',', 'serve', 'as', 'a', 'liaison', 'between', 'the', 'student', 'and', 'her', 'teachers', ',', 'consult', 'with', 'parents', 'about', 'academic', 'and', 'related', 'problems', ',', 'and', 'review', 'and', 'discuss', 'all', 'grades', '.']",student,her,24,26,Female,1,2,2,wikipedia,20,"כל תלמיד מוקצה יועץ סגל כדי לסייע לתלמידה בבחירת הקורסים שלה, לשמש כמקשר בין התלמיד למוריה, להתייעץ עם ההורים על בעיות אקדמיות וקשורות, ולדון בכל הציונים.","כל תלמיד מוקצה יועץ סגל כדי לסייע לתלמידה בבחירת הקורסים שלה, לשמש כמקשר בין התלמיד למוריה, להתייעץ עם ההורים על בעיות אקדמיות וקשורות, ולדון בכל הציונים."
